IME SKLADBE,Instrumenti,Stil,Opus,Datum kompozicije,Vir,Avtorske pravice,Zadnja posodobitev,Glasbeni ID,Typeset
Vocalise № 1,"Voice, Piano",Romantic,Not known,Not known,"Practical Singing Tutor for All Voices, G.Schirmer, 1892. Ed",Public Domain,2019/Jul/24,Mutopia-2019/07/24-2247,"LilyPond, version 2.18.2"
When the Swallows Homeward Fly (Agathe),Voice and Piano,Song,,c. 1846,Not known,Public Domain,2014/Nov/13,Mutopia-2014/11/13-439,"LilyPond, version 2.18.2"
Giselle - Pas de deux (1er Acte),Piano,Classical,Not known,Not known,New arrangement,Public Domain,2006/Dec/22,Mutopia-2006/12/22-897,"LilyPond, version 2.10.4"
Minuit Chrétiens,Voice and Piano,Hymn,Not known,Not known,Ed. Léon Grus,Public Domain,2005/Dec/09,Mutopia-2005/12/09-640,"LilyPond, version 2.6.5"
The Blue Alsatian Mountains,Voice and Piano,Song,Not known,Not known,Not known,Public Domain,2014/Nov/13,Mutopia-2014/11/13-440,"LilyPond, version 2.18.2"
Rumores de la Caleta,Piano,Romantic,71,1887,Union Musical Española,Public Domain,2006/Dec/29,Mutopia-2006/12/29-898,"LilyPond, version 2.10.4"
Prélude,"Piano, Orgue",Romantic,"op. 31,1",1846,"Schlesinger, Berlin, 1887 [Nachdruck Brandus, 1847]",Creative Commons Attribution-ShareAlike 3.0,2009/Dec/15,Mutopia-2009/12/15-1731,"LilyPond, version 2.12.2"
Prélude Nr. 2,"Piano, Orgue",Romantic,"op. 31,2",1846,"Schlesinger, Berlin, 1887 [Nachdruck Brandus, 1847]",Creative Commons Attribution-ShareAlike 3.0,2010/Feb/08,Mutopia-2010/02/08-1742,"LilyPond, version 2.12.2"
Toccatina,Piano,Romantic,Op.75,1872,Paris,Creative Commons Attribution-ShareAlike 4.0,2017/Jan/17,Mutopia-2017/01/17-2163,"LilyPond, version 2.18.2"
Sonatine,Piano,Classical,"Opus 34. I., Meter",18th Century,"Unknown, late 19th Century",Public Domain,2013/Jan/06,Mutopia-2013/01/06-207,"LilyPond, version 2.16.1"
La Native,Piano,Popular / Dance,Not known,c1860,Original Sheet Music,Public Domain,2006/Feb/25,Mutopia-2006/02/25-679,"LilyPond, version 2.6.4.3"
Les Graces,Piano,Popular / Dance,Not known,c1860,Original Sheet Music,Public Domain,2006/Feb/25,Mutopia-2006/02/25-680,"LilyPond, version 2.6.4.3"
"Alice, Where Art Thou?",Voice and Piano,Song,Not known,Not known,Not known,Public Domain,2015/Jan/16,Mutopia-2015/01/16-433,"LilyPond, version 2.19.15"
"Alice, Where Art Thou?",Piano,Song,,1890s?,Sydney,Public Domain,2015/Jan/16,Mutopia-2015/01/16-449,"LilyPond, version 2.19.15"
Rondo in E-flat Major,"Harpsichord, Piano",Classical,"H.288, Meter",18th Century,"J. Maho, 1870s",Public Domain,2015/Apr/03,Mutopia-2015/04/03-177,"LilyPond, version 2.18.2"
Polonaise in F major,Piano,Baroque,BWV Anh. 117a,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2007/Jul/26,Mutopia-2007/07/26-1013,"LilyPond, version 2.10.25"
"Ach, was soll ich Sünder machen","Harpsichord, Piano",Baroque,BWV 259,Not known,"Johann Philipp Kirnberger, Carl Philipp Emanuel Bach",Creative Commons Attribution-ShareAlike 4.0,2016/Jul/12,Mutopia-2016/07/12-2126,"LilyPond, version 2.18.2"
Aus meines Herzens Grunde (Chorale 1),"Harpsichord, Piano",Baroque,BWV 269,1784-1787,Editions de J.P Kimberger - C.P.E Bach,Public Domain,2013/Mar/22,Mutopia-2013/03/22-378,"LilyPond, version 2.16.1"
"Ich dank dir, lieber Herre","Harpsichord, Piano",Baroque,BWV 347,1784-1787,Editions de J.P Kimberger - C.P.E Bach,Public Domain,2016/Apr/25,Mutopia-2016/04/25-379,"LilyPond, version 2.18.2"
"Ermuntre dich, mein schwacher Geist",Piano,Baroque,"Schmellis Gesangbuch, No. 16",1736,"Franz Wullner edition, 1893 (on IMSLP)",Public Domain,2016/Apr/09,Mutopia-2016/04/09-2106,"LilyPond, version 2.18.2"
"Gott, wie gross ist deine Güte",Piano,Baroque,"Schmellis Gesangbuch, No. 26",1736,"Franz Wullner edition, 1893 (on IMSLP)",Public Domain,2016/Feb/17,Mutopia-2016/02/17-2009,"LilyPond, version 2.18.2"
"Chorale setting ""Gib dich zufrieden und sei stille"" in F major",Piano,Baroque,BWV 510,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2007/Jul/22,Mutopia-2007/07/22-1006,"LilyPond, version 2.10.25"
"Chorale setting ""Gib dich zufrieden und sei stille"" in D minor",Piano,Baroque,BWV 511,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2007/Jul/24,Mutopia-2007/07/24-1009,"LilyPond, version 2.10.25"
"Chorale setting ""Gib dich zufrieden und sei stille"" in E minor",Piano,Baroque,BWV 512,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2007/Jul/24,Mutopia-2007/07/24-1010,"LilyPond, version 2.10.25"
Aria,"Harpsichord, Piano, Clavichord",Baroque,BWV 515,Not known,Bach-Gesellschaft,Public Domain,2013/Jan/22,Mutopia-2013/01/22-78,"LilyPond, version 2.16.1"
Aria “Warum betrübst du dich”,Piano,Baroque,BWV 516,Not known,Bach-Gesellschaft Ausgabe 1851-1899 Band 43 (1894),Public Domain,2009/Jan/12,Mutopia-2009/01/12-1622,"LilyPond, version 2.12.1"
Invention 1,"Harpsichord, Piano",Baroque,BWV 772,Not known,Bach-Gesellschaft,Creative Commons Attribution-ShareAlike 3.0,2008/Jun/15,Mutopia-2008/06/15-40,"LilyPond, version 2.11.49"
Invention 2,"Harpsichord, Piano",Baroque,BWV 773,Not known,Bach-Gesellschaft,Public Domain,2008/Jun/15,Mutopia-2008/06/15-58,"LilyPond, version 2.11.49"
Invention 3,"Harpsichord, Piano",Baroque,BWV 774,Not known,Bach-Gesellschaft,Public Domain,2008/Jun/15,Mutopia-2008/06/15-70,"LilyPond, version 2.11.49"
Invention 4,"Harpsichord, Piano",Baroque,BWV 775,Not known,Bach-Gesellschaft,Public Domain,2008/Jun/15,Mutopia-2008/06/15-67,"LilyPond, version 2.11.49"
Invention 5,"Harpsichord, Piano",Baroque,BWV 776,Not known,Bach-Gesellschaft,Public Domain,2008/Jun/15,Mutopia-2008/06/15-55,"LilyPond, version 2.11.49"
Invention 6,"Harpsichord, Piano",Baroque,BWV 777,Not known,Bach-Gesellschaft,Creative Commons Attribution-ShareAlike 3.0,2008/Jun/15,Mutopia-2008/06/15-159,"LilyPond, version 2.11.49"
Invention 7,"Harpsichord, Piano",Baroque,BWV 778,Not known,Bach-Gesellschaft,Public Domain,2009/May/09,Mutopia-2009/05/09-73,"LilyPond, version 2.11.49"
Invention 8,"Harpsichord, Piano",Baroque,BWV 779,Not known,Bach-Gesellschaft,Public Domain,2008/Jun/15,Mutopia-2008/06/15-61,"LilyPond, version 2.11.49"
Invention 9,"Harpsichord, Piano",Baroque,BWV 780,Not known,Bach-Gesellschaft,Creative Commons Attribution-ShareAlike 3.0,2008/Jun/15,Mutopia-2008/06/15-171,"LilyPond, version 2.11.49"
Invention 10,"Harpsichord, Piano",Baroque,BWV 781,Not known,Bach-Gesellschaft,Public Domain,2008/Jun/15,Mutopia-2008/06/15-62,"LilyPond, version 2.11.49"
Invention 11,"Harpsichord, Piano",Baroque,BWV 782,Not known,Bach-Gesellschaft,Public Domain,2008/Jun/15,Mutopia-2008/06/15-71,"LilyPond, version 2.11.49"
Invention 12,"Harpsichord, Piano",Baroque,BWV 783,Not known,Bach-Gesellschaft,Creative Commons Attribution-ShareAlike 3.0,2008/Jun/15,Mutopia-2008/06/15-174,"LilyPond, version 2.11.49"
Invention 13,"Harpsichord, Piano",Baroque,BWV 784,Not known,Bach-Gesellschaft,Public Domain,2008/Jun/15,Mutopia-2008/06/15-59,"LilyPond, version 2.11.49"
Invention 14,"Harpsichord, Piano",Baroque,BWV 785,Not known,Bach-Gesellschaft,Public Domain,2008/Jun/15,Mutopia-2008/06/15-72,"LilyPond, version 2.11.49"
Invention 15,"Harpsichord, Piano",Baroque,BWV 786,Not known,Bach-Gesellschaft,Public Domain,2008/Aug/23,Mutopia-2008/08/23-68,"LilyPond, version 2.11.49"
Sinfonia 1,"Harpsichord, Piano",Baroque,BWV 787,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-142,"LilyPond, version 2.11.49"
Sinfonia 2,"Harpsichord, Piano",Baroque,BWV 788,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-140,"LilyPond, version 2.11.49"
Sinfonia 3,"Harpsichord, Piano",Baroque,BWV 789,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-143,"LilyPond, version 2.11.49"
Sinfonia 4,"Harpsichord, Piano",Baroque,BWV 790,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-172,"LilyPond, version 2.11.49"
Sinfonia 5,"Harpsichord, Piano",Baroque,BWV 791,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-204,"LilyPond, version 2.11.49"
Sinfonia 6,"Harpsichord, Piano",Baroque,BWV 792,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-173,"LilyPond, version 2.11.49"
Sinfonia 7,"Harpsichord, Piano",Baroque,BWV 793,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-175,"LilyPond, version 2.11.49"
Sinfonia 8,"Harpsichord, Piano",Baroque,BWV 794,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-176,"LilyPond, version 2.11.49"
Sinfonia 9,"Harpsichord, Piano",Baroque,BWV 795,Not known,Unknown,Public Domain,2011/Jun/14,Mutopia-2011/06/14-199,"LilyPond, version 2.14.1"
Sinfonia 10,"Harpsichord, Piano",Baroque,BWV 796,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-205,"LilyPond, version 2.11.49"
Sinfonia 11,"Harpsichord, Piano",Baroque,BWV 797,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-200,"LilyPond, version 2.11.49"
Sinfonia 12,"Harpsichord, Piano",Baroque,BWV 798,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-144,"LilyPond, version 2.11.49"
Sinfonia 13,"Harpsichord, Piano",Baroque,BWV 799,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-206,"LilyPond, version 2.11.49"
Sinfonia 14,"Harpsichord, Piano",Baroque,BWV 800,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-213,"LilyPond, version 2.11.49"
Sinfonia 15,"Harpsichord, Piano",Baroque,BWV 801,Not known,Unknown,Public Domain,2008/Jun/15,Mutopia-2008/06/15-145,"LilyPond, version 2.11.49"
